DEPARTAMENTO,PROVINCIA,POBLACION,POBLACION_CIENMIL,INDICE,FECHA_RESULTADO,FEMENINO,MASCULINO,TOTAL
AMAZONAS,BAGUA,84672.0,0.84672,9741.0,2022-02-13,1.0,6.0,7.0
AYACUCHO,HUAMANGA,317801.0,3.17801,7311.0,2022-02-13,1.0,1.0,2.0
PIURA,PIURA,894847.0,8.94847,8045.0,2022-02-13,4.0,3.0,7.0
AYACUCHO,HUANTA,97205.0,0.97205,7311.0,2022-02-13,2.0,1.0,3.0
PIURA,PAITA,148289.0,1.48289,8045.0,2022-02-13,3.0,1.0,4.0
PIURA,MORROPON,173193.0,1.73193,8045.0,2022-02-13,1.0,0.0,1.0
AYACUCHO,LUCANAS,51838.0,0.51838,7311.0,2022-02-13,2.0,0.0,2.0
AYACUCHO,PARINACOCHAS,29139.0,0.29139,7311.0,2022-02-13,0.0,7.0,7.0
PIURA,HUANCABAMBA,118533.0,1.18533,8045.0,2022-02-13,1.0,1.0,2.0
AYACUCHO,VICTOR FAJARDO,19866.0,0.19866,7311.0,2022-02-13,0.0,5.0,5.0
PIURA,AYABACA,127737.0,1.27737,8045.0,2022-02-13,10.0,7.0,17.0
AYACUCHO,VILCAS HUAMAN,17063.0,0.17063,7311.0,2022-02-13,0.0,6.0,6.0
PASCO,PASCO,125164.0,1.25164,8438.0,2022-02-13,11.0,6.0,17.0
PIURA,SECHURA,89597.0,0.89597,8045.0,2022-02-13,2.0,2.0,4.0
CAJAMARCA,CAJABAMBA,83167.0,0.83167,6267.0,2022-02-13,6.0,1.0,7.0
PASCO,OXAPAMPA,100561.0,1.00561,8438.0,2022-02-13,8.0,8.0,16.0
CAJAMARCA,CELENDIN,83916.0,0.83916,6267.0,2022-02-13,1.0,6.0,7.0
PASCO,DANIEL ALCIDES CARRION,46179.0,0.46179,8438.0,2022-02-13,54.0,35.0,89.0
CAJAMARCA,CHOTA,151714.0,1.51714,6267.0,2022-02-13,3.0,4.0,7.0
MOQUEGUA,MARISCAL NIETO,95551.0,0.95551,25378.0,2022-02-13,6.0,13.0,19.0
CAJAMARCA,CONTUMAZA,29357.0,0.29357,6267.0,2022-02-13,14.0,10.0,24.0
CAJAMARCA,CUTERVO,123948.0,1.23948,6267.0,2022-02-13,2.0,0.0,2.0
MOQUEGUA,ILO,82686.0,0.82686,25378.0,2022-02-13,6.0,6.0,12.0
MOQUEGUA,GENERAL SANCHEZ CERRO,14503.0,0.14503,25378.0,2022-02-13,7.0,7.0,14.0
CAJAMARCA,JAEN,203724.0,2.03724,6267.0,2022-02-13,0.0,0.0,0.0
MADRE DE DIOS,TAMBOPATA,140214.0,1.40214,10433.0,2022-02-13,3.0,0.0,3.0
CAJAMARCA,SAN IGNACIO,145770.0,1.4577,6267.0,2022-02-13,1.0,1.0,2.0
CAJAMARCA,CAJAMARCA,388170.0,3.8817,6267.0,2022-02-13,4.0,15.0,19.0
CAJAMARCA,SAN MARCOS,51678.0,0.51678,6267.0,2022-02-13,0.0,4.0,4.0
AREQUIPA,LA UNION,12797.0,0.12797,14297.0,2022-02-13,16.0,39.0,55.0
PIURA,SULLANA,341490.0,3.4149,8045.0,2022-02-13,4.0,4.0,8.0
ANCASH,PALLASCA,24371.0,0.24371,10657.0,2022-02-13,4.0,0.0,4.0
ANCASH,POMABAMBA,26675.0,0.26675,10657.0,2022-02-13,7.0,7.0,14.0
PUNO,SANDIA,56088.0,0.56088,5378.0,2022-02-13,2.0,0.0,2.0
