UBIGEO,PROVINCIA,POBLACION
10100,CHACHAPOYAS,63188
10200,BAGUA,84672
10300,BONGARA,26830
10400,CONDORCANQUI,51344
10500,LUYA,47827
10600,RODRIGUEZ DE MENDOZA,33651
10700,UTCUBAMBA,119294
20100,HUARAZ,185276
20200,AIJA,6433
20300,ANTONIO RAYMONDI,13950
20400,ASUNCION,7710
20500,BOLOGNESI,24012
20600,CARHUAZ,50007
20700,CARLOS FERMIN FITZCARRALD,18496
20800,CASMA,57256
20900,CORONGO,8017
21000,HUARI,63264
21100,HUARMEY,33066
21200,HUAYLAS,56557
21300,MARISCAL LUZURIAGA,21787
21400,OCROS,7224
21500,PALLASCA,24371
21600,POMABAMBA,26675
21700,RECUAY,18085
21800,SANTA,474053
21900,SIHUAS,28630
22000,YUNGAY,55769
30100,ABANCAY,120116
30200,ANDAHUAYLAS,150758
30300,ANTABAMBA,11781
30400,AYMARAES,24570
30500,COTABAMBAS,55208
30600,CHINCHEROS,46544
30700,GRAU,21759
40100,AREQUIPA,1175765
40200,CAMANA,61708
40300,CARAVELI,43690
40400,CASTILLA,34743
40500,CAYLLOMA,97458
40600,CONDESUYOS,16426
40700,ISLAY,54851
40800,LA UNION,12797
50100,HUAMANGA,317801
50200,CANGALLO,32482
50300,HUANCA SANCOS,8341
50400,HUANTA,97205
50500,LA MAR,75277
50600,LUCANAS,51838
50700,PARINACOCHAS,29139
50800,PAUCAR DEL SARA SARA,9909
50900,SUCRE,9292
51000,VICTOR FAJARDO,19866
51100,VILCAS HUAMAN,17063
60100,CAJAMARCA,388170
60200,CAJABAMBA,83167
60300,CELENDIN,83916
60400,CHOTA,151714
60500,CONTUMAZA,29357
60600,CUTERVO,123948
60700,HUALGAYOC,83913
60800,JAEN,203724
60900,SAN IGNACIO,145770
61000,SAN MARCOS,51678
61100,SAN MIGUEL,47114
61200,SAN PABLO,22638
61300,SANTA CRUZ,38602
70000,CALLAO,1129854
80100,CUSCO,511019
80200,ACOMAYO,24000
80300,ANTA,63131
80400,CALCA,71582
80500,CANAS,34754
80600,CANCHIS,106476
80700,CHUMBIVILCAS,70143
80800,ESPINAR,62059
080900,LA CONVENCION,167910
81000,PARURO,26644
81100,PAUCARTAMBO,47579
81200,QUISPICANCHI,101735
81300,URUBAMBA,70043
90100,HUANCAVELICA,121265
90200,ACOBAMBA,37503
90300,ANGARAES,53901
90400,CASTROVIRREYNA,14588
90500,CHURCAMPA,33883
90600,HUAYTARA,18182
90700,TAYACAJA,85995
100100,HUANUCO,315799
100200,AMBO,53247
100300,DOS DE MAYO,32427
100400,HUACAYBAMBA,16372
100500,HUAMALIES,52095
100600,LEONCIO PRADO,138275
100700,MARAÑON,29160
100800,PACHITEA,50086
100900,PUERTO INCA,36987
101000,LAURICOCHA,17114
101100,YAROWILCA,18705
110100,ICA,445752
110200,CHINCHA,262110
110300,NASCA,78472
110400,PALPA,14832
110500,PISCO,174016
120100,HUANCAYO,595183
120200,CONCEPCION,59138
120300,CHANCHAMAYO,167385
120400,JAUJA,88405
120500,JUNIN,22757
120600,SATIPO,239105
120700,TARMA,91849
120800,YAULI,40041
120900,CHUPACA,57604
130100,TRUJILLO,1118724
130200,ASCOPE,123480
130300,BOLIVAR,15982
130400,CHEPEN,86411
130500,JULCAN,30987
130600,OTUZCO,85091
130700,PACASMAYO,112970
130800,PATAZ,85092
130900,SANCHEZ CARRION,168670
131000,SANTIAGO DE CHUCO,55868
131100,GRAN CHIMU,28290
131200,VIRU,105206
140100,CHICLAYO,862709
140200,FERREÑAFE,107241
140300,LAMBAYEQUE,340835
150100,LIMA,9674755
150200,BARRANCA,151095
150300,CAJATAMBO,6332
150400,CANTA,11593
150500,CAÑETE,250420
150600,HUARAL,194375
150700,HUAROCHIRI,62381
150800,HUAURA,240717
150900,OYON,17137
151000,YAUYOS,19665
160100,MAYNAS,550551
160200,ALTO AMAZONAS,149892
160300,LORETO,71904
160400,MARISCAL RAMON CASTILLA,59232
160500,REQUENA,64459
160600,UCAYALI,62477
160700,DATEM DEL MARAÑON,59870
160800,PUTUMAYO,9174
170100,TAMBOPATA,140214
170200,MANU,21118
170300,TAHUAMANU,12479
180100,MARISCAL NIETO,95551
180200,GENERAL SANCHEZ CERRO,14503
180300,ILO,82686
190100,PASCO,125164
190200,DANIEL ALCIDES CARRION,46179
190300,OXAPAMPA,100561
200100,PIURA,894847
200200,AYABACA,127737
200300,HUANCABAMBA,118533
200400,MORROPON,173193
200500,PAITA,148289
200600,SULLANA,341490
200700,TALARA,154268
200800,SECHURA,89597
210100,PUNO,230219
210200,AZANGARO,112149
210300,CARABAYA,78873
210400,CHUCUITO,88112
210500,EL COLLAO,66287
210600,HUANCANE,58957
210700,LAMPA,42549
210800,MELGAR,69693
210900,MOHO,19190
211000,SAN ANTONIO DE PUTINA,34734
211100,SAN ROMAN,344030
211200,SANDIA,56088
211300,YUNGUYO,37116
220100,MOYOBAMBA,133631
220200,BELLAVISTA,60893
220300,EL DORADO,42983
220400,HUALLAGA,30097
220500,LAMAS,88637
220600,MARISCAL CACERES,73193
220700,PICOTA,44039
220800,RIOJA,131651
220900,SAN MARTIN,218074
221000,TOCACHE,76450
230100,TACNA,346192
230200,CANDARAVE,6093
230300,JORGE BASADRE,12549
230400,TARATA,6140
240100,TUMBES,171356
240200,CONTRALMIRANTE VILLAR,24127
240300,ZARUMILLA,56038
250100,CORONEL PORTILLO,447733
250200,ATALAYA,61049
250300,PADRE ABAD,77044
250400,PURUS,3284
